               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.055692,            0.063743,            0.020313,              0.5023,             0.50426,             0.39533,             0.17383,            0.062158,            0.067484,            0.020728,            0.008812,            0.008812,            0.008812
                  38,            0.056207,            0.063063,            0.019332,             0.55186,             0.55198,             0.49359,             0.22989,            0.051572,            0.067619,            0.020205,            0.008779,            0.008779,            0.008779
                  39,            0.055302,            0.063761,            0.019621,             0.61148,             0.55147,             0.51862,             0.25322,            0.047323,            0.067625,            0.020111,            0.008746,            0.008746,            0.008746
                  40,            0.050169,            0.065589,            0.019709,             0.54029,             0.53853,              0.5039,             0.22592,            0.052039,            0.067942,            0.019349,            0.008713,            0.008713,            0.008713
                  41,            0.052595,            0.064546,            0.020394,             0.66358,             0.47298,             0.50899,             0.25636,            0.044111,            0.067476,            0.019298,             0.00868,             0.00868,             0.00868
                  42,            0.052448,            0.064694,            0.018854,             0.57396,             0.50517,             0.48102,               0.245,            0.050998,            0.067856,             0.01885,            0.008647,            0.008647,            0.008647
                  43,            0.051828,            0.066109,            0.018698,             0.73731,             0.48591,             0.47591,             0.26332,            0.051255,            0.067673,            0.018692,            0.008614,            0.008614,            0.008614
                  44,             0.05302,            0.059996,            0.019049,             0.66772,             0.49302,             0.53363,             0.28459,            0.044834,            0.068277,            0.018959,            0.008581,            0.008581,            0.008581
                  45,            0.048595,            0.061379,            0.019008,             0.60064,             0.48493,             0.44426,             0.18773,            0.054347,            0.068174,            0.018525,            0.008548,            0.008548,            0.008548
                  46,            0.052755,            0.055916,            0.019258,             0.68263,             0.49368,             0.48772,             0.22273,            0.053605,              0.0694,            0.018238,            0.008515,            0.008515,            0.008515
                  47,            0.054104,            0.057654,             0.01888,             0.72613,             0.46854,             0.53239,             0.27486,            0.044105,            0.069213,            0.018396,            0.008482,            0.008482,            0.008482
                  48,            0.045823,            0.059592,            0.016608,             0.61386,              0.4609,             0.44736,             0.19358,            0.050055,             0.06969,            0.017938,            0.008449,            0.008449,            0.008449
                  49,            0.052976,            0.061365,            0.017926,             0.65815,             0.47246,             0.48761,             0.22575,            0.047358,            0.069999,            0.017988,            0.008416,            0.008416,            0.008416
                  50,            0.050802,             0.05824,            0.019173,             0.73009,             0.45673,             0.45295,             0.20177,            0.047368,             0.06903,             0.01763,            0.008383,            0.008383,            0.008383
                  51,            0.047997,            0.063808,            0.018083,             0.64052,              0.4918,             0.48791,             0.25107,            0.050334,            0.068937,            0.017485,             0.00835,             0.00835,             0.00835
                  52,            0.053873,            0.063424,            0.017478,             0.68954,             0.49282,             0.53024,             0.22133,            0.044282,            0.068541,            0.017451,            0.008317,            0.008317,            0.008317
                  53,            0.046632,            0.052922,            0.017462,             0.73926,             0.47615,             0.46405,             0.23647,            0.051505,             0.07002,            0.016696,            0.008284,            0.008284,            0.008284
                  54,             0.05024,            0.056887,            0.016406,             0.79351,             0.48033,             0.50715,             0.23302,            0.049665,            0.070222,            0.016563,            0.008251,            0.008251,            0.008251
                  55,            0.049896,            0.056469,            0.016667,             0.82922,             0.48767,             0.52882,             0.24823,            0.045932,            0.069412,            0.016628,            0.008218,            0.008218,            0.008218
                  56,            0.046072,            0.059294,            0.016431,             0.74088,             0.46414,             0.47616,             0.20575,            0.049932,            0.068716,            0.016244,            0.008185,            0.008185,            0.008185
                  57,            0.051149,            0.062827,            0.016234,             0.75995,             0.51901,             0.52417,             0.24564,            0.044911,            0.069346,            0.016331,            0.008152,            0.008152,            0.008152
                  58,            0.050117,            0.060361,            0.017831,             0.76462,             0.48485,             0.48228,             0.21155,            0.052012,            0.070383,            0.016105,            0.008119,            0.008119,            0.008119
                  59,            0.048642,            0.057211,            0.015992,             0.72796,             0.50705,             0.51058,             0.22786,            0.046758,            0.069384,            0.015973,            0.008086,            0.008086,            0.008086
                  60,            0.049777,            0.059167,            0.014716,             0.79817,             0.49837,             0.55244,             0.22971,            0.045549,            0.068357,            0.016216,            0.008053,            0.008053,            0.008053
                  61,            0.048307,            0.058926,            0.015258,             0.63048,             0.49612,             0.48045,             0.21077,            0.049794,            0.070337,            0.016003,             0.00802,             0.00802,             0.00802
                  62,            0.048417,            0.060467,            0.015095,             0.79435,             0.51753,             0.54835,             0.26664,            0.046364,            0.069609,            0.015964,            0.007987,            0.007987,            0.007987
